Method,Name,Error,Occurrences
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3542ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3417ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3347ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3375ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3471ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3576ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3746ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3368ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3588ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3371ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3514ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3359ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3610ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3421ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3494ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3545ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3356ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3434ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3432ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3548ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3566ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3772ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3579ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3495ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3395ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3754ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3456ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3474ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3518ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3581ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3466ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3365ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3348ms > 3000ms'),2
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3768ms > 3000ms'),1
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3538ms > 3000ms'),1
GET,/api/v1/report/[company_id],CatchResponseError('HTTP 502'),756
GET,/api/v1/dashboard/[company_id],CatchResponseError('ASR VIOLADO: latencia 3753ms > 3000ms'),1
